agno		encuesta	sexo		km 		resi		tiempo 
2000          	1             	v             	8             	familia       	40            
2000          	2             	v             	1             	familia       	8             
2000          	3             	v             	12            	familia       	60            
2000          	4             	v             	0             	familia       	10            
2000          	5             	v             	5             	familia       	30            
2000          	6             	v             	45            	familia       	40            
2000          	7             	v             	7             	familia       	50            
2000          	8             	v             	0.5           	familia       	10            
2000          	9             	v             	2             	familia       	25            
2000          	10            	v             	2             	familia       	35            
2000          	11            	v             	5             	familia       	40            
2000          	12            	v             	3             	familia       	30            
2000          	13            	v             	1             	familia       	10            
2000          	14            	m             	47            	familia       	60            
2000          	15            	m             	48            	familia       	60            
2000          	16            	m             	20            	familia       	45            
2000          	17            	m             	10            	familia       	35            
2000          	18            	v             	47            	piso          	45            
2000          	19            	v             	125           	piso          	10            
2000          	20            	v             	5             	familia       	30            
2000          	21            	m             	9             	familia       	60            
2000          	22            	m             	90            	colegio       	5             
2000          	23            	v             	45            	familia       	45            
2000          	24            	m             	180           	piso          	15            
2000          	25            	m             	1             	familia       	15            
2000          	26            	m             	1             	familia       	10            
2000          	27            	v             	3             	familia       	15            
2000          	28            	v             	2             	familia       	10            
2000          	29            	v             	240           	piso          	10            
2000          	30            	m             	20            	piso          	5             
2000          	31            	v             	47            	familia       	30            
2000          	32            	m             	6             	familia       	1             
2000          	33            	m             	1             	familia       	15            
2000          	34            	m             	5             	familia       	10            
2000          	35            	m             	2             	familia       	30            
2000          	36            	m             	.              	familia       	10            
2000          	37            	v             	1             	familia       	15            
2000          	38            	m             	2             	familia       	30            
2000          	39            	v             	380           	piso          	10            
2000          	40            	v             	250           	colegio       	5             
2000          	41            	m             	0.5           	familia       	5             
2000          	42            	m             	1             	familia       	10            
2000          	43            	m             	3             	familia       	20            
2000          	44            	v             	200           	piso          	15            
2000          	45            	m             	2.5           	familia       	25            
2000          	46            	v             	5.5           	familia       	45            
2000          	47            	m             	6             	familia       	45            
2000          	48            	v             	0.5           	familia       	5             
