agno                            	Estudios_previos                	edad                            	altura                          	peso                            	numero_pie                      	cigarrillos                     	alcohol                         
              	              	              	         	         	         	         	         
2000          	cou           	20            	178      	83       	44       	0        	fines    
2000          	cou           	20            	177      	77       	45       	0        	habitual 
2000          	cou           	20            	180      	80       	47       	10       	fines    
2000          	cou           	23            	168      	64       	41       	20       	fines    
2000          	logse         	20            	172      	66       	40       	10       	fines    
2000          	logse         	18            	178      	73       	42       	0        	fines    
2000          	cou           	17            	175      	79       	45       	         	fines    
2000          	cou           	20            	177      	65       	41       	0        	fines    
2000          	cou           	20            	173      	90       	42       	12       	fines    
2000          	logse         	19            	178      	72       	42       	0        	fines    
2000          	logse         	19            	180      	70       	43       	0        	habitual 
2000          	logse         	19            	175      	42       	42       	0        	nunca    
2000          	logse         	19            	170      	65       	42       	0        	fines    
2000          	logse         	18            	167      	52       	37       	12       	fines    
2000          	logse         	18            	173      	60       	38       	10       	fines    
2000          	logse         	23            	160      	53       	38       	0        	nunca    
2000          	cou           	26            	153      	50       	36       	0        	fines    
2000          	logse         	17            	184      	78       	45       	4        	habitual 
2000          	logse         	18            	170      	64       	41       	0        	fines    
2000          	cou           	20            	190      	84       	45       	0        	fines    
2000          	cou           	19            	163      	60       	38       	4        	fines    
2000          	logse         	19            	163      	68       	38       	0        	fines    
2000          	cou           	22            	168      	63       	39       	0        	fines    
2000          	logse         	19            	160      	49       	38       	0        	fines    
2000          	logse         	20            	172      	61       	39       	10       	nunca    
2000          	cou           	23            	137      	52       	38       	12       	fines    
2000          	cou           	20            	175      	70       	43       	0        	fines    
2000          	fp            	20            	179      	70       	44       	0        	fines    
2000          	logse         	20            	171      	75       	41       	0        	fines    
2000          	logse         	21            	170      	58       	36       	10       	fines    
2000          	cou           	19            	187      	84       	46       	0        	fines    
2000          	cou           	21            	163      	58       	37       	10       	fines    
2000          	cou           	19            	160      	55       	37       	10       	fines    
2000          	e.u.          	26            	169      	60       	39       	0        	nunca    
2000          	e.u.          	24            	176      	57       	39       	0        	fines    
2000          	cou           	18            	176      	53       	40       	0        	fines    
2000          	cou           	22            	177      	70       	42       	0        	         
2000          	cou           	22            	173      	69       	39       	4        	fines    
