ALJAN 11.3 43.5 17.1 34.0
ALFEB 13.8 51.1 27.0 40.4
ALMAR  9.4 58.9 36.6 49.7
ALAPR  7.1 72.1 47.2 61.3
ALMAY  2.3 87.4 57.4 74.9
ALJUN  3.6 88.1 62.9 78.8
ALJUL  1.2 93.2 68.1 83.9
ALAUG  0.4102.8 78.7 89.5
ALSEP  1.0 91.8 59.7 78.1
ALOCT  6.7 84.4 53.4 63.8
ALNOV  3.9 72.8 38.7 53.2
ALDEC  9.1 57.3 29.6 42.5
BUJAN 10.0 47.2 21.8 37.4
BUFEB 11.8 56.1 24.4 42.9
BUMAR  9.9 61.7 35.7 51.8
BUAPR  8.9 80.1 48.6 62.7
BUMAY  5.1 87.8 56.1 79.2
BUJUN  3.1 97.6 65.8 80.1
BUJUL  1.7101.6 60.2 84.6
BUAUG  3.1102.2 74.2 86.4
BUSEP  4.2 92.6 62.9 79.1
BUOCT  3.8 82.9 56.2 67.5
BUNOV  5.0 70.2 35.7 49.1
BUDEC 11.1 57.2 30.5 37.8

