Ciudad,Agno,Regiondelmundo,Indicepreciossinalquiler,Indiceprecioconalquiler,Indicesalariosbruto,Indicesalariosneto,Horasanualesdetrabajo,Vacacionesanualespagadas,Podercomprabruto,Podercompraneto,TiempotrabajoporKgpan,Tiempotrabajoporhamburguesa,Gastoalimentos,Gastocestacompra,Preciovestidomujer,Preciotrajehombre,Preciopiso4habamueblado,Preciopiso3habsinamueblar,Precioalquiler,Precioelectrodomesticos,Preciotranviaometroobus,Preciotaxi,Preciocoche,Preciorestaurante,Precionochedehotel,Precioserviciosvarios,Impuestosycontribucionessocialescomo%salariobruto,Salarioporhoraneto,Maestro,Choferdeautobus,Mecanicodecoche,Obrerodelaconstruccion,Tornero,Jefedecocina,Directordefabrica,Ingeniero,Cajerobanco,Secretariadedireccion,Dependienta,Trabajadortextil,Ingresopromedioanualneto,Ejefactorialingreso1,Ejefactorialingreso2,Ejefactorialingreso3,Ejefactorialingreso4,Ejefactorialingreso5,Maestro/Med,Chofer/Med,Mecanico/Med,Obreroconstr/Med,Tornero/Med,Jefedecocina/Med,Diretorfabrica/Med,Ingeniero/Med,Cajerobanco/Med,Secretariadireccion/Med,Dependienta/Med,Trabajadortext/Med,Desigualdadsalarial,Manualescalificados,Femeninosnocalificados,Ejefactorialinformes1,Ejefactorialinformes2,Ejefactorialinformes3,Ejefactorialinformes4,Ejefactorialinformes5,Maestro/Med,Chofer/Med,Mecanico/Med,Obreroconstr/Med,Tornero/Med,Jefedecocina/Med,Diretorfabrica/Med,Ingeniero/Med,Cajerobanco/Med,Secretariadireccion/Med,Dependienta/Med,Trabajadortext/Med

AbuDhabi91,Edition1991,PROCHEORIENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
AbuDhabi94,edition1994,PROCHEORIENT,71.30,78.10,29.90,38.00,2100.00,28.90,42.00,53.30,6.00,38.00,336.00,1388.00,930.00,1750.00,2710.00,920.00,920.00,1620.00,,1.36,12800.00,33.00,239.00,290.00,0.00,6.50,19500.00,11400.00,9200.00,3500.00,6800.00,33900.00,95000.00,59700.00,47800.00,14700.00,14700.00,4900.00,13650.00,-2.17,4.61,0.75,-0.42,0.18,1.43,0.84,0.67,0.26,0.50,2.48,6.96,4.37,3.50,1.08,1.08,0.36,6.70,0.59,0.72,6.11,-2.41,0.99,-1.89,1.98,1.41381.45,0.82550.84,0.57700.68,0.13300.26,0.13120.75,2.29492.48,6.56519.13,3.93934.37,3.22583.50,1.07691.11,1.07691.13,0.13120.36
Amsterdam91,Edition1991,CENTRALEUROPE,65.60,65.70,56.90,49.00,1714.00,31.90,86.70,74.80,9.00,31.00,303.00,1145.00,389.00,663.00,1400.00,723.00,340.00,1822.00,1.27,7.24,13867.00,25.00,234.00,275.00,31.40,7.84,15608.00,17819.00,11924.00,12661.00,14536.00,14402.00,25924.00,24786.00,14871.00,14871.00,11857.00,10852.00,13434.00,-0.19,-0.46,-0.07,-0.22,-0.17,1.16,1.33,0.89,0.94,1.08,1.07,1.93,1.85,1.11,1.11,0.88,0.81,1.12,0.98,0.85,-1.34,-0.82,0.91,0.42,0.11,1.16181.20,1.28681.33,0.88760.90,0.94250.96,1.08201.09,1.06021.07,1.91011.94,1.84501.88,1.09491.11,1.10701.12,0.88200.90,0.80740.83
Amsterdam94,edition1994,CENTRALEUROPE,68.80,70.30,61.40,53.70,1792.00,27.50,89.30,78.00,11.00,28.00,324.00,1339.00,410.00,710.00,1590.00,1060.00,520.00,1880.00,1.56,10.58,17200.00,26.00,286.00,330.00,31.50,9.20,23800.00,24900.00,14300.00,13000.00,22000.00,15600.00,33600.00,32600.00,22500.00,17000.00,12700.00,13700.00,16486.00,-1.58,-0.36,-0.58,-0.22,0.12,1.44,1.51,0.87,0.79,1.33,0.95,2.04,1.98,1.36,1.03,0.77,0.83,1.27,1.10,0.80,-1.67,-1.30,-0.61,0.45,0.49,1.41381.45,1.42201.51,0.86550.87,0.78190.79,1.31471.34,0.87120.95,1.99352.04,1.95971.98,1.34951.36,1.02021.03,0.76190.77,0.80740.83
Athenes91,Edition1991,SUDEUROPE,53.80,55.60,30.20,30.40,1792.00,23.50,56.10,56.40,9.00,33.00,267.00,940.00,308.00,536.00,931.00,690.00,450.00,2391.00,0.27,1.81,19628.00,17.00,180.00,167.00,19.90,4.89,7972.00,9445.00,8574.00,9847.00,14402.00,14068.00,13800.00,14804.00,9914.00,6900.00,4555.00,5761.00,8763.00,1.81,-0.55,0.41,0.09,0.30,0.91,1.08,0.98,1.12,1.64,1.61,1.57,1.69,1.13,0.79,0.52,0.66,1.17,1.31,0.59,-2.07,1.45,-1.68,-0.35,-0.68,0.84790.91,1.06581.09,0.97841.00,1.11521.13,1.64351.88,1.56131.69,1.56231.58,1.67461.72,1.10881.14,0.75670.83,0.51980.54,0.65740.66
Athenes94,edition1994,SUDEUROPE,54.40,56.70,27.70,28.50,1775.00,24.50,50.90,52.40,17.00,42.00,275.00,1059.00,370.00,900.00,1270.00,770.00,440.00,2310.00,0.30,2.12,23700.00,20.00,243.00,220.00,18.90,4.90,10100.00,11300.00,6000.00,9700.00,9600.00,11000.00,12300.00,13000.00,11000.00,8900.00,5800.00,6200.00,8698.00,1.91,-0.51,-0.08,0.17,-0.04,1.16,1.30,0.69,1.12,1.10,1.26,1.41,1.49,1.26,1.02,0.67,0.71,0.83,0.90,0.69,-1.62,-0.77,0.04,-0.55,-1.01,1.12211.16,1.28681.33,0.68980.75,1.11521.13,1.09591.10,1.25681.27,1.41411.45,1.49461.54,1.26471.31,1.02021.03,0.65950.68,0.70370.71
Bangkok91,Edition1991,SUDASIEETAUSTRALI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
Bangkok94,edition1994,SUDASIEETAUSTRALI,64.60,70.10,9.50,11.20,2272.00,8.80,14.60,17.30,69.00,83.00,325.00,1258.00,290.00,540.00,2820.00,2170.00,320.00,3890.00,0.36,3.66,29600.00,28.00,190.00,230.00,5.10,2.00,4100.00,3400.00,2600.00,1700.00,6600.00,8500.00,27300.00,17900.00,12800.00,7100.00,1700.00,1900.00,4544.00,2.97,0.82,-0.22,-0.10,0.25,0.90,0.75,0.57,0.37,1.45,1.87,6.01,3.94,2.82,1.56,0.37,0.42,5.63,1.01,0.40,4.45,0.44,-3.34,-0.35,-0.35,0.84790.91,0.74670.76,0.14320.57,0.37410.41,1.43831.48,1.80981.92,5.48896.01,3.93934.37,2.10982.82,1.50891.72,0.34980.46,0.41810.50
Bogota91,Edition1991,SUDAMERIQUE,37.90,39.30,10.10,11.50,2152.00,17.40,26.60,30.30,23.00,98.00,137.00,661.00,161.00,208.00,1407.00,623.00,160.00,1768.00,0.09,1.56,11991.00,9.00,108.00,107.00,6.20,1.81,2144.00,2412.00,4354.00,1206.00,4823.00,13934.00,12192.00,12259.00,2345.00,5024.00,2278.00,2814.00,3892.00,3.41,0.16,0.61,-0.09,0.34,0.55,0.62,1.12,0.31,1.24,3.58,3.13,3.15,0.60,1.29,0.59,0.72,3.27,1.18,0.65,2.50,2.67,-0.84,1.02,-1.80,0.51280.58,0.47120.68,1.11871.15,0.29390.36,1.22691.24,3.53923.64,3.04103.13,2.91503.15,0.60120.77,1.23951.35,0.58530.62,0.71890.72
Bogota94,edition1994,SUDAMERIQUE,52.80,54.40,13.50,16.00,2154.00,18.70,25.50,30.20,32.00,72.00,258.00,1028.00,260.00,470.00,1900.00,900.00,250.00,1950.00,0.29,3.01,17500.00,13.00,204.00,170.00,4.90,2.80,4100.00,4100.00,6500.00,1700.00,5500.00,11600.00,31500.00,19000.00,8400.00,9100.00,3100.00,5100.00,6031.00,2.47,0.66,0.14,-0.31,0.26,0.68,0.68,1.08,0.28,0.91,1.92,5.22,3.15,1.39,1.51,0.51,0.85,4.94,0.99,0.68,2.85,1.18,-0.31,0.64,-1.01,0.65960.73,0.67980.74,1.06861.08,0.25910.28,0.77480.91,1.80981.92,4.45875.22,3.15043.69,1.38861.39,1.50891.72,0.46150.52,0.83930.85
